,ID,Title,Difficulty,Repetitions,Done,Data structure used,Algorithm Used,Complexity,Needs Repetition,Notes
423,1089,Duplicate Zeros,Easy,1,0,,,,,
424,1099,Two Sum Less Than K,Easy,1,0,,,,,
425,1122,Relative Sort Array,Easy,1,0,,,,,
426,1165,Single-Row Keyboard,Easy,1,0,,,,,
427,1170,Compare Strings by Frequency of the Smallest Character,Easy,1,0,,,,,
428,1179,Reformat Department Table,Easy,1,0,,,,,
429,1221,Split a String in Balanced Strings,Easy,1,0,,,,,
430,1237,Find Positive Integer Solution for a Given Equation,Easy,1,0,,,,,
431,1275,Find Winner on a Tic Tac Toe Game,Easy,1,0,,,,,
432,1281,Subtract the Product and Sum of Digits of an Integer,Easy,1,0,,,,,
433,1313,Decompress Run-Length Encoded List,Easy,1,0,,,,,
434,1342,Number of Steps to Reduce a Number to Zero,Easy,1,0,,,,,
435,1365,How Many Numbers Are Smaller Than the Current Number,Easy,1,0,,,,,
436,1480,Running Sum of 1d Array,Easy,1,0,,,,,
437,47,Permutations II,Medium,1,0,,,,,
438,73,Set Matrix Zeroes,Medium,1,0,,,,,
439,80,Remove Duplicates from Sorted Array II,Medium,1,0,,,,,
440,81,Search in Rotated Sorted Array II,Medium,1,0,,,,,
441,86,Partition List,Medium,1,0,,,,,
442,93,Restore IP Addresses,Medium,1,0,,,,,
443,95,Unique Binary Search Trees II,Medium,1,0,,,,,
444,109,Convert Sorted List to Binary Search Tree,Medium,1,0,,,,,
445,117,Populating Next Right Pointers in Each Node II,Medium,1,0,,,,,
446,129,Sum Root to Leaf Numbers,Medium,1,0,,,,,
447,130,Surrounded Regions,Medium,1,0,,,,,
448,131,Palindrome Partitioning,Medium,1,0,,,,,
449,137,Single Number II,Medium,1,0,,,,,
450,144,Binary Tree Preorder Traversal,Medium,1,0,,,,,
451,148,Sort List,Medium,1,0,,,,,
452,150,Evaluate Reverse Polish Notation,Medium,1,0,,,,,
453,152,Maximum Product Subarray,Medium,1,0,,,,,
454,156,Binary Tree Upside Down,Medium,1,0,,,,,
455,159,Longest Substring with At Most Two Distinct Characters,Medium,1,0,,,,,
456,161,One Edit Distance,Medium,1,0,,,,,
457,163,Missing Ranges,Medium,1,0,,,,,
458,178,Rank Scores,Medium,1,0,,,,,
459,180,Consecutive Numbers,Medium,1,0,,,,,
460,184,Department Highest Salary,Medium,1,0,,,,,
461,192,Word Frequency,Medium,1,0,,,,,
462,213,House Robber II,Medium,1,0,,,,,
463,216,Combination Sum III,Medium,1,0,,,,,
464,222,Count Complete Tree Nodes,Medium,1,0,,,,,
465,228,Summary Ranges,Medium,1,0,,,,,
466,241,Different Ways to Add Parentheses,Medium,1,0,,,,,
467,247,Strobogrammatic Number II,Medium,1,0,,,,,
468,249,Group Shifted Strings,Medium,1,0,,,,,
469,250,Count Univalue Subtrees,Medium,1,0,,,,,
470,254,Factor Combinations,Medium,1,0,,,,,
471,259,3Sum Smaller,Medium,1,0,,,,,
472,260,Single Number III,Medium,1,0,,,,,
473,261,Graph Valid Tree,Medium,1,0,,,,,
474,267,Palindrome Permutation II,Medium,1,0,,,,,
475,271,Encode and Decode Strings,Medium,1,0,,,,,
476,274,H-Index,Medium,1,0,,,,,
477,280,Wiggle Sort,Medium,1,0,,,,,
478,285,Inorder Successor in BST,Medium,1,0,,,,,
479,288,Unique Word Abbreviation,Medium,1,0,,,,,
480,289,Game of Life,Medium,1,0,,,,,
481,294,Flip Game II,Medium,1,0,,,,,
482,298,Binary Tree Longest Consecutive Sequence,Medium,1,0,,,,,
483,307,Range Sum Query - Mutable,Medium,1,0,,,,,
484,313,Super Ugly Number,Medium,1,0,,,,,
485,314,Binary Tree Vertical Order Traversal,Medium,1,0,,,,,
486,318,Maximum Product of Word Lengths,Medium,1,0,,,,,
487,320,Generalized Abbreviation,Medium,1,0,,,,,
488,323,Number of Connected Components in an Undirected Graph,Medium,1,0,,,,,
489,324,Wiggle Sort II,Medium,1,0,,,,,
490,325,Maximum Size Subarray Sum Equals k,Medium,1,0,,,,,
491,328,Odd Even Linked List,Medium,1,0,,,,,
492,331,Verify Preorder Serialization of a Binary Tree,Medium,1,0,,,,,
493,334,Increasing Triplet Subsequence,Medium,1,0,,,,,
494,337,House Robber III,Medium,1,0,,,,,
495,338,Counting Bits,Medium,1,0,,,,,
496,356,Line Reflection,Medium,1,0,,,,,
497,357,Count Numbers with Unique Digits,Medium,1,0,,,,,
498,360,Sort Transformed Array,Medium,1,0,,,,,
499,361,Bomb Enemy,Medium,1,0,,,,,
500,365,Water and Jug Problem,Medium,1,0,,,,,
501,366,Find Leaves of Binary Tree,Medium,1,0,,,,,
